member_casual,hour_of_day,total_rides
member,0,34648
casual,0,36702
casual,1,24590
member,1,21292
casual,2,15286
member,2,12049
member,3,8246
casual,3,8491
casual,4,6668
member,4,9194
member,5,36402
casual,5,12591
member,6,109267
casual,6,29714
casual,7,55259
member,7,210052
casual,8,78060
member,8,267518
casual,9,78667
member,9,182359
member,10,160963
casual,10,96866
casual,11,123158
member,11,188209
casual,12,145794
member,12,215099
member,13,215159
casual,13,151968
casual,14,158457
member,14,215761
member,15,264287
casual,15,174361
casual,16,195861
member,16,358984
member,17,409494
casual,17,208028
casual,18,177465
member,18,318681
member,19,223395
casual,19,130802
member,20,156692
casual,20,95770
casual,21,79817
member,21,120454
member,22,87531
casual,22,69730
casual,23,49225
member,23,55575
